wheel,degree,distinguish,wR2,param,value
fl,1,0,0.543029082887565,a,-0.00354947522694978
fl,1,0,0.543029082887565,c10,0.0727299945299063
fl,1,1,0.678873116010011,a,-0.00370948053638568
fl,1,1,0.678873116010011,c10,0.0643464299929764
fl,1,1,0.678873116010011,c11,0.0283602331424054
fl,2,0,0.556196064994187,a,-0.00341479157168847
fl,2,0,0.556196064994187,c10,0.0316319036053025
fl,2,0,0.556196064994187,c20,0.045847328577993
fl,2,1,0.711782853354294,a,-0.00315115167126786
fl,2,1,0.711782853354294,c10,-0.00629076462935053
fl,2,1,0.711782853354294,c11,0.0611934689057248
fl,2,1,0.711782853354294,c20,0.0768197709034476
fl,2,1,0.711782853354294,c21,-0.0343909917930762
fl,3,0,0.557995923827395,a,-0.00460054902036558
fl,3,0,0.557995923827395,c10,0.0182499190602518
fl,3,0,0.557995923827395,c20,0.109833060690255
fl,3,0,0.557995923827395,c30,-0.0510373595168857
fl,3,1,0.745645725334655,a,-0.00255207396834733
fl,3,1,0.745645725334655,c10,0.0163994606122887
fl,3,1,0.745645725334655,c11,0.0106563762702286
fl,3,1,0.745645725334655,c20,-0.0704509677940205
fl,3,1,0.745645725334655,c21,0.223052012084577
fl,3,1,0.745645725334655,c30,0.126015970315996
fl,3,1,0.745645725334655,c31,-0.212556330508964
fr,1,0,0.802727654086783,a,-0.0526875597484204
fr,1,0,0.802727654086783,c10,-0.447266849531914
fr,1,1,0.894742756685387,a,-0.0501339310310204
fr,1,1,0.894742756685387,c10,-0.421010093696587
fr,1,1,0.894742756685387,c11,-0.0891276791656968
fr,2,0,0.806372752341883,a,-0.0535318003617921
fr,2,0,0.806372752341883,c10,-0.305930350723391
fr,2,0,0.806372752341883,c20,-0.148297840333268
fr,2,1,0.917223820163825,a,-0.0531680054722699
fr,2,1,0.917223820163825,c10,-0.0455811049037478
fr,2,1,0.917223820163825,c11,-0.374482389638071
fr,2,1,0.917223820163825,c20,-0.38539699713163
fr,2,1,0.917223820163825,c21,0.292563899791021
fr,3,0,0.822533601114621,a,-0.0309777573212303
fr,3,0,0.822533601114621,c10,-0.032621701433633
fr,3,0,0.822533601114621,c20,-1.33182718261684
fr,3,0,0.822533601114621,c30,0.905428949877804
fr,3,1,0.943955683336519,a,-0.0429675888481345
fr,3,1,0.943955683336519,c10,-0.00927405981555598
fr,3,1,0.943955683336519,c11,-0.0479731624833896
fr,3,1,0.943955683336519,c20,-0.267264428714435
fr,3,1,0.943955683336519,c21,-1.1843077239838
fr,3,1,0.943955683336519,c30,-0.16100447588682
fr,3,1,0.943955683336519,c31,1.17095420523399
rl,1,0,0.808347019790021,a,0.0173607214232268
rl,1,0,0.808347019790021,c10,0.178391545613245
rl,1,1,0.81752668078803,a,0.0169257923232667
rl,1,1,0.81752668078803,c10,0.172873143632221
rl,1,1,0.81752668078803,c11,0.0115318654286452
rl,2,0,0.890460323684192,a,0.0339701734308527
rl,2,0,0.890460323684192,c10,-0.0048607172472838
rl,2,0,0.890460323684192,c20,0.190944987916998
rl,2,1,0.925012594246622,a,0.0363523722202831
rl,2,1,0.925012594246622,c10,-0.0707565252458969
rl,2,1,0.925012594246622,c11,0.0902345456439781
rl,2,1,0.925012594246622,c20,0.249756552137125
rl,2,1,0.925012594246622,c21,-0.0815580946557433
rl,3,0,0.890652018002772,a,0.0344008376319648
rl,3,0,0.890652018002772,c10,0.00911328954994178
rl,3,0,0.890652018002772,c20,0.145481193435776
rl,3,0,0.890652018002772,c30,0.0321418790240593
rl,3,1,0.931742321920305,a,0.0383762507902484
rl,3,1,0.931742321920305,c10,0.00664996239492544
rl,3,1,0.931742321920305,c11,0.0631727715104919
rl,3,1,0.931742321920305,c20,-0.0288457233994856
rl,3,1,0.931742321920305,c21,0.0356607488303907
rl,3,1,0.931742321920305,c30,0.204810367714795
rl,3,1,0.931742321920305,c31,-0.0916803017365479
rr,1,0,0.942187432909538,a,-0.00972466753603372
rr,1,0,0.942187432909538,c10,-0.628196268766787
rr,1,1,0.942250391347674,a,-0.0091905397872673
rr,1,1,0.942250391347674,c10,-0.628303080126045
rr,1,1,0.942250391347674,c11,-0.00200472334492119
rr,2,0,0.984916432880205,a,-0.0550688771090825
rr,2,0,0.984916432880205,c10,-0.14435837576076
rr,2,0,0.984916432880205,c20,-0.467983611562249
rr,2,1,0.991900228699579,a,-0.0533346096825163
rr,2,1,0.991900228699579,c10,0.0169599757498764
rr,2,1,0.991900228699579,c11,-0.163412876442805
rr,2,1,0.991900228699579,c20,-0.631853011344752
rr,2,1,0.991900228699579,c21,0.149520730013013
rr,3,0,0.985590297213491,a,-0.0508362889087176
rr,3,0,0.985590297213491,c10,-0.0385396437614539
rr,3,0,0.985590297213491,c20,-0.791350722094086
rr,3,0,0.985590297213491,c30,0.216852291085871
rr,3,1,0.993059129924072,a,-0.052403638991411
rr,3,1,0.993059129924072,c10,-0.000158988625235585
rr,3,1,0.993059129924072,c11,-0.0263018803619134
rr,3,1,0.993059129924072,c20,-0.540252138396084
rr,3,1,0.993059129924072,c21,-0.286452766909782
rr,3,1,0.993059129924072,c30,-0.0751024722209487
rr,3,1,0.993059129924072,c31,0.303517181882675
